audiofile,survey_file_name,min.avg_H,min.avg_S,min.avg_T,max.avg_H,max.avg_S,max.avg_T,titi_over_thresh,titi_over_thresh_and_howler_under_thresh,titi_over_thresh_and_over_howler,PrimateSpecies,CallDistance
HARPIA_20130211_074500.wav,"E:/For Sun - Full test dataset/Harpia 2013/8,600/11 feb 2013/HARPIA_20130211_074500.wav",-2.7350000000000003,-2.796666666666667,-2.866,1.145,3.1,0.846,0,0,0,0,NA
HARPIA_20130211_080000.wav,"E:/For Sun - Full test dataset/Harpia 2013/8,600/11 feb 2013/HARPIA_20130211_080000.wav",-0.445,-2.2866666666666666,-2.348,1.7149999999999999,2.5500000000000003,0.8160000000000001,0,0,0,0,NA
HARPIA_20130212_054500.wav,"E:/For Sun - Full test dataset/Harpia 2013/8,600/12 feb 2013/HARPIA_20130212_054500.wav",1.015,-2.71,-2.058,3.375,4.623333333333333,0.374,0,0,0,0,NA
HARPIA_20130212_060000.wav,"E:/For Sun - Full test dataset/Harpia 2013/8,600/12 feb 2013/HARPIA_20130212_060000.wav",1.68,-2.0733333333333333,-3.294,4.015,1.77,-0.052,0,0,0,0,NA
HARPIA_20130212_061500.wav,"E:/For Sun - Full test dataset/Harpia 2013/8,600/12 feb 2013/HARPIA_20130212_061500.wav",-0.36,-2.84,-3.868,3.8200000000000003,2.816666666666667,0.26,0,0,0,0,NA
HARPIA_20130212_063000.wav,"E:/For Sun - Full test dataset/Harpia 2013/8,600/12 feb 2013/HARPIA_20130212_063000.wav",1.2650000000000001,-2.0266666666666664,-1.894,3.275,3.13,0.492,0,0,0,0,NA
HARPIA_20130212_064500.wav,"E:/For Sun - Full test dataset/Harpia 2013/8,600/12 feb 2013/HARPIA_20130212_064500.wav",0.59,-2.6866666666666665,-1.654,3.105,2.3533333333333335,0.39399999999999996,0,0,0,0,NA
HARPIA_20130212_070000.wav,"E:/For Sun - Full test dataset/Harpia 2013/8,600/12 feb 2013/HARPIA_20130212_070000.wav",0.855,-3.006666666666667,-2.174,4.245,2.12,0.308,0,0,0,0,NA
HARPIA_20130212_071500.wav,"E:/For Sun - Full test dataset/Harpia 2013/8,600/12 feb 2013/HARPIA_20130212_071500.wav",-0.1,-2.6933333333333334,-2.862,4.065,2.6933333333333334,0.462,0,0,0,0,NA
HARPIA_20130212_073000.wav,"E:/For Sun - Full test dataset/Harpia 2013/8,600/12 feb 2013/HARPIA_20130212_073000.wav",-3.19,-4.7,-3.564,3.85,4.949999999999999,2.962,0,0,0,0,NA
