audiofile,min.avg_H,min.avg_S,min.avg_T,max.avg_H,max.avg_S,max.avg_T,titi_over_thresh_and_over_howler_spider,PrimateSpecies,CallDistance
HARPIA_20130225_064500.wav,-0.86,-2.916666667,-1.666,2.52,4.08,1.261,0,0,NA
HARPIA_20130225_070000.wav,-1.515,-3.44,-1.733,2.52,4.966666667,2.546,0,0,NA
HARPIA_20130225_071500.wav,-0.995,-2.196666667,-2.078,3.045,3.226666667,0.961,0,0,NA
HARPIA_20130225_073000.wav,-5.52,-4.483333333,-3.069,3.19,6.486666667,2.618,0,0,NA
HARPIA_20130225_074500.wav,-1.02,-2.56,-2.095,3.225,5.4,1.544,0,0,NA
HARPIA_20130225_080000.wav,-3.515,-4.836666667,-2.624,3.04,7.656666667,3.528,0,0,NA
HARPIA_20130226_054500.wav,-1.33,-2.926666667,-1.156,0.875,3.283333333,1.429,0,0,NA
HARPIA_20130226_060000.wav,-0.73,-2.62,-2.603,2.29,3.446666667,0.873,0,0,NA
HARPIA_20130226_061500.wav,-0.955,-2.343333333,-2.118,1.89,3.113333333,0.899,0,0,NA
HARPIA_20130226_063000.wav,-0.54,-2.58,-1.678,2.165,3.203333333,1.646,0,0,NA
HARPIA_20130226_064500.wav,-3.315,-3.11,-1.515,1.675,4.576666667,1.966,0,0,NA
HARPIA_20130226_070000.wav,-2.085,-2.503333333,-1.22,1.225,4.57,1.57,0,0,NA
HARPIA_20130226_071500.wav,-1.515,-2.416666667,-1.608,2.36,3.663333333,1.204,0,0,NA
HARPIA_20130226_073000.wav,-1.645,-1.836666667,-0.388,-0.155,1.976666667,1.015,0,0,NA
HARPIA_20130226_074500.wav,-1.7,-1.863333333,-0.473,-0.2,2.17,1.027,0,0,NA
HARPIA_20130226_080000.wav,-2.17,-2.163333333,-0.594,0.625,2.793333333,1.189,0,0,NA
HARPIA_20130227_054500.wav,-1.795,-1.9,-0.61,0.27,2.236666667,1.284,0,0,NA
HARPIA_20130227_060000.wav,-2.845,-2.136666667,-2.721,1.335,4.573333333,2.179,0,0,NA
HARPIA_20130227_061500.wav,-1.055,-2.15,-2.441,2.405,2.603333333,0.405,0,0,NA
HARPIA_20130227_063000.wav,-0.585,-2.47,-1.661,2.14,3.416666667,1.578,0,0,NA
HARPIA_20130227_064500.wav,-0.535,-2.316666667,-1.717,2.05,2.963333333,1.057,0,0,NA
HARPIA_20130227_070000.wav,-1.89,-1.903333333,-0.853,0.285,2.06,0.849,0,0,NA
HARPIA_20130227_071500.wav,-1.795,-2.096666667,-0.932,0.115,2.15,0.822,0,0,NA
HARPIA_20130227_073000.wav,-3.11,-2.493333333,-1.04,0.085,2.43,1.954,0,0,NA
HARPIA_20130227_074500.wav,-1.785,-2.126666667,-1.041,0.49,2.3,0.888,0,0,NA
HARPIA_20130227_080000.wav,-2.99,-2.206666667,-0.943,0.87,2.986666667,1.168,0,0,NA
HARPIA_20140204_054500.wav,0.205,-2.9,-2.118,3.985,3.103333333,0.787,0,0,NA
HARPIA_20140204_064500.wav,0.545,-2.19,-1.515,2.97,2.986666667,0.495,0,0,NA
HARPIA_20140204_070000.wav,0.915,-2.263333333,-1.649,3.285,3.783333333,0.526,0,0,NA
HARPIA_20140204_071500.wav,0.515,-2.776666667,-1.909,4.14,3.363333333,0.752,0,0,NA
HARPIA_20140204_073000.wav,0.945,-2.596666667,-1.926,4.035,3.18,0.368,0,0,NA
