audiofile,survey_file_name,min.avg_H,min.avg_S,min.avg_T,max.avg_H,max.avg_S,max.avg_T,AutomatedDetection_titi_over_thresh_and_over_howler,ManualDetectionPrimateSpecies,CallDistance,low_freq_signal,high_freq_signal,start_signal,end_signal,inband_power_signal,low_freq_noise,high_freq_noise,start_noise,end_noise,inband_power_noise,Comments
PUMA_20170215_073000.wav,"E:/For Sun - Full test dataset/Puma 2017/4, 0/15 feb/PUMA_20170215_073000.wav",0.57,-2.69,-1.652,3.025,2.656666667,1.734,0,1,4,,,,,,,,,,,
PUMA_20170215_074500.wav,"E:/For Sun - Full test dataset/Puma 2017/4, 0/15 feb/PUMA_20170215_074500.wav",-1.29,-4.963333333,-3.762,3.215,6.153333333,2.208,0,1,4,,,,,,,,,,,
PUMA_20170216_071500.wav,"E:/For Sun - Full test dataset/Puma 2017/1, 200/16 feb/PUMA_20170216_071500.wav",-1.42,-3.663333333,-1.62,1.91,4.18,2.176,0,1,4,,,,,,,,,,,
PUMA_20170218_063000.wav,"E:/For Sun - Full test dataset/Puma 2017/6, 400/18 feb/PUMA_20170218_063000.wav",-1.39,-2.023333333,-0.56,0.325,2.72,1.746,0,1,4,,,,,,,,,,,
PUMA_20170220_054500.wav,"E:/For Sun - Full test dataset/Puma 2017/6, 400/20 feb/PUMA_20170220_054500.wav",-1.115,-2.383333333,-0.902,1.685,3.666666667,2.722,0,1,4,,,,,,,,,,,
PUMA_20170220_064500.wav,"E:/For Sun - Full test dataset/Puma 2017/6, 400/20 feb/PUMA_20170220_064500.wav",-2.54,-2.916666667,-1.104,1.97,5.726666667,3.23,0,1,4,,,,,,,,,,,
PUMA_20170220_074500.wav,"E:/For Sun - Full test dataset/Puma 2017/6, 400/20 feb/PUMA_20170220_074500.wav",-0.65,-3.61,-1.35,2.65,4.613333333,3.826,0,1,4,,,,,,,,,,,
PUMA_20170221_070000.wav,"E:/For Sun - Full test dataset/Puma 2017/-3, 600/21 feb/PUMA_20170221_070000.wav",-0.815,-3.083333333,-1.88,2.355,2.633333333,1.674,0,1,4,,,,,,,,,,,
PUMA_20170223_071500.wav,"E:/For Sun - Full test dataset/Puma 2017/-3, 600/23 feb/PUMA_20170223_071500.wav",0.175,-2.93,-1.684,2.53,2.703333333,0.742,0,1,4,,,,,,,,,,,
PUMA_20170224_071500.wav,"E:/For Sun - Full test dataset/Puma 2017/6, 800/24 feb/PUMA_20170224_071500.wav",-1.73,-3.476666667,-1.688,3.37,5.916666667,3.35,0,1,4,,,,,,,,,,,
HARPIA_20160127_063000.wav,"E:/For Sun - Full test dataset/Harpia 2016/1, -50/27 Jan/HARPIA_20160127_063000.wav",-3.525,-5.096666667,-2.758,6.37,8.626666667,9.598,1,3,2,,,,,,,,,,,
HARPIA_20150208_071500.wav,"E:/For Sun - Full test dataset/Harpia 2015/3, -50/8 feb 2015/HARPIA_20150208_071500.wav",-2.14,-4.866666667,-2.416,5.205,7.306666667,6.492,1,3,3,,,,,,,,,,,
HARPIA_20170213_070000.wav,"E:/For Sun - Full test dataset/Harpia 2017/1, -50/13 feb/HARPIA_20170213_070000.wav",0.29,-9.166666667,-4.132,10.925,8.62,5.852,0,3,3,,,,,,,,,,,
HARPIA_20150217_061500.wav,"E:/For Sun - Full test dataset/Harpia 2015/1, 800/17 feb 2015/HARPIA_20150217_061500.wav",0.81,-2.31,-2.892,5.35,2.686666667,-0.344,0,3,4,,,,,,,,,,,
HARPIA_20160127_054500.wav,"E:/For Sun - Full test dataset/Harpia 2016/1, -50/27 Jan/HARPIA_20160127_054500.wav",1.215,-3.55,-3.186,9.995,4.346666667,0.524,0,3,4,,,,,,,,,,,
HARPIA_20160203_071500.wav,"E:/For Sun - Full test dataset/Harpia 2016/1, 800/3 Feb/HARPIA_20160203_071500.wav",-2.745,-4.77,-3.166,4.015,6.616666667,2.242,0,3,4,,,,,,,,,,,
