audiofile,min.avg_H,min.avg_S,min.avg_T,max.avg_H,max.avg_S,max.avg_T,titi_over_thresh,titi_over_thresh_and_howler_under_thresh,titi_over_thresh_and_over_howler,PrimateSpecies_dist_1-4,PrimateSpecies_dist_1-3,CallDistance
HARPIA_20150213_061500.wav,-2.705,-3.833333333,-3.452857143,5.22,5.176666667,2.147142857,0,0,0,0,0,NA
HARPIA_20140204_060000.wav,1.715,-3.543333333,-2.77,5.215,3.406666667,0.66,0,0,0,2,2,3
PUMA_20140207_063000.wav,1.61,-3.64,-2.124285714,5.21,6.51,2.292857143,0,0,0,1,0,4
HARPIA_20150212_061500.wav,-0.15,-4.996666667,-3.625714286,5.21,4.296666667,1.47,0,0,0,2,2,4
PUMA_20130302_061500.wav,0.385,-7.693333333,-4.03,5.21,7.72,2.982857143,0,0,0,3,0,4
HARPIA_20150208_071500.wav,-2.14,-4.866666667,-2.318571429,5.205,7.306666667,6.54,1,0,1,3,3,3
HARPIA_20150208_061500.wav,-0.805,-3.323333333,-2.881428571,5.185,8.61,3.192857143,0,0,0,0,0,NA
PUMA_20130303_060000.wav,0.86,-6.816666667,-3.83,5.155,5.743333333,1.968571429,0,0,0,2,2,4
HARPIA_20140217_054500.wav,1.245,-2.203333333,-2.082857143,5.15,1.866666667,0.161428571,0,0,0,2,2,4
HARPIA_20130215_064500.wav,0.32,-2.6,-3.724285714,5.135,2.346666667,0.577142857,0,0,0,2,2,3
HARPIA_20160127_071500.wav,1.61,-2.99,-2.702857143,5.135,3.876666667,0.478571429,0,0,0,2,2,4
HARPIA_20160129_063000.wav,1.29,-2.75,-2.452857143,5.135,6.456666667,1.287142857,0,0,0,2,2,4
HARPIA_20170217_061500.wav,1.9,-2.5,-2.11,5.13,3.153333333,0.072857143,0,0,0,2,2,3
PUMA_20170219_060000.wav,-0.205,-3.536666667,-2.16,5.13,3.593333333,0.964285714,0,0,0,2,2,4
HARPIA_20130210_063000.wav,1.21,-2.383333333,-5.305714286,5.125,2.68,-2.52,0,0,0,0,0,NA
PUMA_20170224_061500.wav,-0.235,-3.933333333,-2.257142857,5.11,3.326666667,0.581428571,0,0,0,2,2,4
PUMA_20140205_060000.wav,0.86,-2.086666667,-1.184285714,5.105,3.673333333,1.208571429,0,0,0,2,2,4
HARPIA_20170213_080000.wav,1.76,-2.56,-4.228571429,5.1,2.356666667,-0.565714286,0,0,0,0,0,NA
HARPIA_20150217_054500.wav,0.68,-2.786666667,-2.76,5.07,1.92,-0.091428571,0,0,0,0,0,NA
HARPIA_20130214_060000.wav,1.35,-2.94,-3.471428571,5.05,2.416666667,0.53,0,0,0,2,2,4
HARPIA_20140205_070000.wav,1.01,-2.18,-2.278571429,5.04,3.203333333,1.115714286,0,0,0,0,0,NA
HARPIA_20160126_071500.wav,0.655,-2.68,-2.32,5.04,4.556666667,1.457142857,0,0,0,0,0,NA
PUMA_20140207_080000.wav,0.885,-4.136666667,-2.19,5.005,7.046666667,2.625714286,0,0,0,1,0,4
PUMA_20130301_071500.wav,-1.81,-9.28,-4.672857143,4.99,8.173333333,3.581428571,0,0,0,0,0,NA
PUMA_20170213_074500.wav,0.89,-3.05,-2.704285714,4.99,6.08,1.135714286,0,0,0,0,0,NA
HARPIA_20160203_061500.wav,1.785,-2.7,-2.878571429,4.985,2.056666667,-0.451428571,0,0,0,2,2,4
PUMA_20150208_054500.wav,1.93,-2.546666667,-1.634285714,4.975,2.536666667,0.52,0,0,0,2,2,4
HARPIA_20130209_060000.wav,-0.465,-2.233333333,-2.904285714,4.97,1.77,-0.021428571,0,0,0,0,0,NA
PUMA_20150208_064500.wav,-2.435,-4.983333333,-2.002857143,4.95,5.563333333,4.377142857,1,0,0,3,0,4
HARPIA_20150218_063000.wav,-1.085,-2.923333333,-2.607142857,4.945,4.7,0.451428571,0,0,0,2,2,4
HARPIA_20150213_054500.wav,1.435,-2.19,-1.752857143,4.93,1.643333333,0.528571429,0,0,0,0,0,NA
PUMA_20170215_064500.wav,-0.005,-3.486666667,-2.455714286,4.93,3.773333333,0.411428571,0,0,0,0,0,NA
HARPIA_20140215_061500.wav,0.735,-2.853333333,-2.465714286,4.92,3.303333333,0.524285714,0,0,0,2,2,3
PUMA_20140205_070000.wav,-0.565,-3.946666667,-1.692857143,4.915,6.966666667,2.3,0,0,0,0,0,NA
PUMA_20150214_064500.wav,0.585,-3.45,-2.644285714,4.91,3.56,0.47,0,0,0,2,2,4
HARPIA_20160203_073000.wav,0.475,-2.683333333,-2.202857143,4.905,2.393333333,0.507142857,0,0,0,2,2,4
PUMA_20140207_071500.wav,-2.56,-4.106666667,-2.404285714,4.9,7.656666667,4.132857143,1,0,0,1,0,4
PUMA_20140205_063000.wav,0.545,-3.16,-1.825714286,4.86,5.68,3.608571429,0,0,0,1,1,3
PUMA_20170213_061500.wav,1.475,-2.426666667,-3.132857143,4.86,3.376666667,0.428571429,0,0,0,2,2,4
PUMA_20130303_063000.wav,-0.3,-6.336666667,-4.09,4.855,8.753333333,3.451428571,0,0,0,0,0,NA
HARPIA_20150214_063000.wav,0.28,-2.743333333,-2.204285714,4.85,2.74,1.107142857,0,0,0,2,2,4
PUMA_20170213_073000.wav,0.46,-2.656666667,-3.131428571,4.84,5.11,2.615714286,0,0,0,1,0,4
HARPIA_20130214_054500.wav,0.015,-3.306666667,-2.101428571,4.84,4.306666667,0.887142857,0,0,0,2,2,4
PUMA_20150218_070000.wav,1.745,-2.746666667,-2.992857143,4.835,2.293333333,-0.185714286,0,0,0,0,0,NA
PUMA_20140214_064500.wav,1.965,-2.02,-1.997142857,4.82,1.93,0.077142857,0,0,0,0,0,NA
